"VDS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VGS
References : ['permute(Gm)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","permute(Gm)
References : []
Dependency : [VDS,VGS]
Num. Points : [321,16]
Matrix Size : scalar
Type : Real"
4.900,-1.800,0.534
4.900,-1.700,0.531
4.900,-1.600,0.528
4.900,-1.500,0.524
5.000,-3.000,0.736
5.000,-2.900,0.683
5.000,-2.800,0.611
5.000,-2.700,0.584
5.000,-2.600,0.572
5.000,-2.500,0.564
5.000,-2.400,0.559
5.000,-2.300,0.554
5.000,-2.200,0.550
5.000,-2.100,0.547
5.000,-2.000,0.543
5.000,-1.900,0.540
5.000,-1.800,0.537
5.000,-1.700,0.533
5.000,-1.600,0.530
5.000,-1.500,0.527
5.100,-3.000,0.742
5.100,-2.900,0.687
5.100,-2.800,0.614
5.100,-2.700,0.588
5.100,-2.600,0.575
5.100,-2.500,0.568
5.100,-2.400,0.562
5.100,-2.300,0.558
5.100,-2.200,0.554
5.100,-2.100,0.550
5.100,-2.000,0.546
5.100,-1.900,0.543
5.100,-1.800,0.539
5.100,-1.700,0.536
5.100,-1.600,0.533
5.100,-1.500,0.530
5.200,-3.000,0.748
5.200,-2.900,0.691
5.200,-2.800,0.618
5.200,-2.700,0.591
5.200,-2.600,0.578
5.200,-2.500,0.571
5.200,-2.400,0.565
5.200,-2.300,0.561
5.200,-2.200,0.557
5.200,-2.100,0.553
5.200,-2.000,0.549
5.200,-1.900,0.546
5.200,-1.800,0.542
5.200,-1.700,0.539
5.200,-1.600,0.536
5.200,-1.500,0.532
5.300,-3.000,0.754
5.300,-2.900,0.695
5.300,-2.800,0.622
5.300,-2.700,0.595
5.300,-2.600,0.582
5.300,-2.500,0.574
5.300,-2.400,0.569
5.300,-2.300,0.564
5.300,-2.200,0.560
5.300,-2.100,0.556
5.300,-2.000,0.552
5.300,-1.900,0.549
5.300,-1.800,0.545
5.300,-1.700,0.542
5.300,-1.600,0.538
5.300,-1.500,0.535
5.400,-3.000,0.760
5.400,-2.900,0.700
5.400,-2.800,0.626
5.400,-2.700,0.599
5.400,-2.600,0.586
5.400,-2.500,0.578
5.400,-2.400,0.572
5.400,-2.300,0.567
5.400,-2.200,0.563
5.400,-2.100,0.559
5.400,-2.000,0.555
5.400,-1.900,0.552
5.400,-1.800,0.548
5.400,-1.700,0.545
5.400,-1.600,0.541
5.400,-1.500,0.538
5.500,-3.000,0.766
5.500,-2.900,0.704
5.500,-2.800,0.630
5.500,-2.700,0.602
5.500,-2.600,0.589
5.500,-2.500,0.581
5.500,-2.400,0.576
5.500,-2.300,0.571
5.500,-2.200,0.567
5.500,-2.100,0.562
5.500,-2.000,0.559
5.500,-1.900,0.555
5.500,-1.800,0.551
5.500,-1.700,0.548
5.500,-1.600,0.544
5.500,-1.500,0.541
5.600,-3.000,0.771
5.600,-2.900,0.708
5.600,-2.800,0.634
5.600,-2.700,0.606
5.600,-2.600,0.593
5.600,-2.500,0.585
5.600,-2.400,0.579
5.600,-2.300,0.574
5.600,-2.200,0.570
5.600,-2.100,0.566
5.600,-2.000,0.562
5.600,-1.900,0.558
5.600,-1.800,0.554
5.600,-1.700,0.551
5.600,-1.600,0.547
5.600,-1.500,0.544
5.700,-3.000,0.777
5.700,-2.900,0.713
5.700,-2.800,0.638
5.700,-2.700,0.610
5.700,-2.600,0.597
5.700,-2.500,0.589
5.700,-2.400,0.583
5.700,-2.300,0.578
5.700,-2.200,0.573
5.700,-2.100,0.569
5.700,-2.000,0.565
5.700,-1.900,0.561
5.700,-1.800,0.558
5.700,-1.700,0.554
5.700,-1.600,0.550
5.700,-1.500,0.547
5.800,-3.000,0.782
5.800,-2.900,0.718
5.800,-2.800,0.643
5.800,-2.700,0.614
5.800,-2.600,0.601
5.800,-2.500,0.593
5.800,-2.400,0.587
5.800,-2.300,0.581
5.800,-2.200,0.577
5.800,-2.100,0.573
5.800,-2.000,0.569
5.800,-1.900,0.565
5.800,-1.800,0.561
5.800,-1.700,0.557
5.800,-1.600,0.553
5.800,-1.500,0.550
5.900,-3.000,0.787
5.900,-2.900,0.723
5.900,-2.800,0.647
5.900,-2.700,0.618
5.900,-2.600,0.605
5.900,-2.500,0.596
5.900,-2.400,0.590
5.900,-2.300,0.585
5.900,-2.200,0.580
5.900,-2.100,0.576
5.900,-2.000,0.572
5.900,-1.900,0.568
5.900,-1.800,0.564
5.900,-1.700,0.560
5.900,-1.600,0.557
5.900,-1.500,0.553
6.000,-3.000,0.792
6.000,-2.900,0.728
6.000,-2.800,0.651
6.000,-2.700,0.623
6.000,-2.600,0.609
6.000,-2.500,0.600
6.000,-2.400,0.594
6.000,-2.300,0.589
6.000,-2.200,0.584
6.000,-2.100,0.580
6.000,-2.000,0.575
6.000,-1.900,0.571
6.000,-1.800,0.567
6.000,-1.700,0.564
6.000,-1.600,0.560
6.000,-1.500,0.556
6.100,-3.000,0.797
6.100,-2.900,0.733
6.100,-2.800,0.656
6.100,-2.700,0.627
6.100,-2.600,0.613
6.100,-2.500,0.604
6.100,-2.400,0.598
6.100,-2.300,0.593
6.100,-2.200,0.588
6.100,-2.100,0.583
6.100,-2.000,0.579
6.100,-1.900,0.575
6.100,-1.800,0.571
